date,time,province,engine_size,accident_count,age_group,severity
25/09/2017,7:43:24,Nakhon-Ratchasima,more-than-1000cc,0.03%,36-60,Injury
11/3/2017,13:58:05,Surat-Thani, 111cc - 125cc,59.18%,36-60,Injury
11/4/2017,17:34:43,Surat-Thani, 126cc - 150cc,1.74%,36-60,Injury
18/04/2017,19:38:23,Surat-Thani, 156cc - 300cc,0.08%,36-60,Injury
22/12/2017,9:24:55,Surat-Thani, 400cc - 1000cc,0.79%,36-60,Injury
16/03/2017,12:39:20,Surat-Thani,less-than-110cc,27.61%,36-60,Injury
11/10/2017,19:18:50,Surat-Thani,more-than-1000cc,0.16%,36-60,Injury
10/10/2017,4:04:48,Chiang-Mai, 111cc - 125cc,50.00%,60++,Dead
7/1/2017,11:05:15,Chiang-Mai, 126cc - 150cc,3.70%,60++,Dead
23/11/2017,12:55:08,Chiang-Mai, 156cc - 300cc,0.00%,60++,Dead
27/03/2017,18:24:02,Chiang-Mai, 400cc - 1000cc,3.70%,60++,Dead
15/11/2017,8:25:28,Chiang-Mai,less-than-110cc,42.59%,60++,Dead
17/07/2017,7:10:17,Bangkok, 111cc - 125cc,41.94%,60++,Dead
4/2/2017,8:45:09,Bangkok, 126cc - 150cc,16.13%,60++,Dead
10/4/2017,10:19:55,Bangkok, 156cc - 300cc,0.00%,60++,Dead
31/10/2017,14:46:27,Bangkok, 400cc - 1000cc,4.84%,60++,Dead
12/12/2017,10:48:16,Bangkok,less-than-110cc,22.58%,60++,Dead
12/12/2017,17:06:54,Bangkok,more-than-1000cc,0.00%,60++,Dead
16/03/2017,23:21:27,Kanchanaburi, 111cc - 125cc,48.00%,60++,Dead
20/08/2017,12:35:18,Kanchanaburi, 156cc - 300cc,0.00%,60++,Dead
25/02/2017,18:44:37,Kanchanaburi,less-than-110cc,48.00%,60++,Dead
13/09/2017,11:10:58,Chonburi, 111cc - 125cc,56.41%,60++,Dead
6/12/2017,9:59:09,Chonburi, 126cc - 150cc,5.13%,60++,Dead
13/10/2017,13:55:47,Chonburi, 156cc - 300cc,0.00%,60++,Dead
6/3/2017,14:01:29,Chonburi, 400cc - 1000cc,0.00%,60++,Dead
28/02/2017,11:13:36,Chonburi,less-than-110cc,28.21%,60++,Dead
14/06/2017,8:36:03,Chonburi,more-than-1000cc,0.00%,60++,Dead
25/06/2017,13:55:58,Nakhon-Ratchasima, 111cc - 125cc,47.50%,60++,Dead
5/3/2017,22:25:58,Nakhon-Ratchasima, 126cc - 150cc,5.00%,60++,Dead
23/03/2017,4:25:54,Nakhon-Ratchasima, 156cc - 300cc,0.00%,60++,Dead
2/8/2017,1:56:04,Nakhon-Ratchasima, 400cc - 1000cc,2.50%,60++,Dead
5/6/2017,6:28:28,Nakhon-Ratchasima,less-than-110cc,40.00%,60++,Dead
19/11/2017,1:30:59,Surat-Thani, 111cc - 125cc,45.45%,60++,Dead
24/12/2017,16:24:01,Surat-Thani, 126cc - 150cc,0.00%,60++,Dead
14/01/2017,1:17:51,Surat-Thani, 400cc - 1000cc,0.00%,60++,Dead
15/05/2017,22:11:02,Surat-Thani,less-than-110cc,27.27%,60++,Dead
26/07/2017,23:26:31,Chiang-Mai, 111cc - 125cc,47.04%,60++,Injury
6/1/2017,15:21:36,Chiang-Mai, 126cc - 150cc,2.44%,60++,Injury
16/01/2017,17:39:25,Chiang-Mai, 156cc - 300cc,0.08%,60++,Injury
14/10/2017,21:46:51,Chiang-Mai, 400cc - 1000cc,0.24%,60++,Injury
10/2/2017,16:15:53,Chiang-Mai,less-than-110cc,45.63%,60++,Injury
5/3/2017,16:19:54,Chiang-Mai,more-than-1000cc,0.16%,60++,Injury
19/06/2017,17:37:53,Bangkok, 111cc - 125cc,53.05%,60++,Injury
27/11/2017,17:22:08,Bangkok, 126cc - 150cc,5.58%,60++,Injury
11/12/2017,12:37:27,Bangkok, 156cc - 300cc,0.14%,60++,Injury
13/02/2017,12:25:08,Bangkok, 400cc - 1000cc,0.43%,60++,Injury
10/4/2017,15:13:31,Bangkok,less-than-110cc,21.07%,60++,Injury
28/05/2017,15:36:05,Bangkok,more-than-1000cc,0.05%,60++,Injury
30/06/2017,12:42:51,Kanchanaburi, 111cc - 125cc,44.70%,60++,Injury
26/02/2017,20:21:25,Kanchanaburi, 126cc - 150cc,1.26%,60++,Injury
28/02/2017,1:53:28,Kanchanaburi, 156cc - 300cc,0.25%,60++,Injury
7/3/2017,6:01:36,Kanchanaburi, 400cc - 1000cc,0.00%,60++,Injury
14/06/2017,9:04:59,Kanchanaburi,less-than-110cc,51.77%,60++,Injury
26/04/2017,20:54:20,Kanchanaburi,more-than-1000cc,0.25%,60++,Injury
28/06/2017,19:28:13,Chonburi, 111cc - 125cc,54.81%,60++,Injury
25/03/2017,0:09:06,Chonburi, 126cc - 150cc,2.44%,60++,Injury
18/07/2017,12:07:06,Chonburi, 156cc - 300cc,0.29%,60++,Injury
27/09/2017,17:58:03,Chonburi, 400cc - 1000cc,0.86%,60++,Injury
22/02/2017,18:03:56,Chonburi,less-than-110cc,30.27%,60++,Injury
5/1/2017,10:15:02,Chonburi,more-than-1000cc,0.00%,60++,Injury
30/06/2017,8:36:51,Nakhon-Ratchasima, 111cc - 125cc,46.93%,60++,Injury
16/07/2017,20:36:22,Nakhon-Ratchasima, 126cc - 150cc,1.23%,60++,Injury
31/08/2017,7:31:54,Nakhon-Ratchasima, 156cc - 300cc,0.00%,60++,Injury
19/02/2017,23:05:05,Nakhon-Ratchasima, 400cc - 1000cc,0.10%,60++,Injury
9/5/2017,22:05:59,Nakhon-Ratchasima,less-than-110cc,46.01%,60++,Injury
10/8/2017,13:29:40,Nakhon-Ratchasima,more-than-1000cc,0.00%,60++,Injury
24/11/2017,4:08:27,Surat-Thani, 111cc - 125cc,51.91%,60++,Injury
5/6/2017,10:16:35,Surat-Thani, 126cc - 150cc,0.25%,60++,Injury
1/10/2017,21:58:57,Surat-Thani, 156cc - 300cc,0.00%,60++,Injury
16/10/2017,6:14:26,Surat-Thani, 400cc - 1000cc,0.00%,60++,Injury
23/05/2017,9:39:13,Surat-Thani,less-than-110cc,35.11%,60++,Injury
18/01/2017,6:49:16,Surat-Thani,more-than-1000cc,0.00%,60++,Injury
13/07/2018,16:55:02,Chiang-Mai, 111cc - 125cc,53.85%,14-Jan,Dead
12/1/2018,19:46:08,Chiang-Mai, 126cc - 150cc,0.00%,14-Jan,Dead
27/03/2018,8:13:49,Chiang-Mai, 400cc - 1000cc,7.69%,14-Jan,Dead
2/1/2018,10:39:15,Chiang-Mai,less-than-110cc,30.77%,14-Jan,Dead
22/12/2018,10:27:11,Bangkok, 111cc - 125cc,68.18%,14-Jan,Dead
15/07/2018,22:41:17,Bangkok, 126cc - 150cc,13.64%,14-Jan,Dead
10/12/2018,1:54:19,Bangkok, 400cc - 1000cc,4.55%,14-Jan,Dead
22/07/2018,19:35:41,Bangkok,less-than-110cc,9.09%,14-Jan,Dead
3/8/2018,11:38:27,Bangkok,more-than-1000cc,0.00%,14-Jan,Dead
25/10/2018,17:52:29,Kanchanaburi, 111cc - 125cc,53.85%,14-Jan,Dead
27/11/2018,17:12:39,Kanchanaburi, 126cc - 150cc,0.00%,14-Jan,Dead
8/3/2018,0:48:46,Kanchanaburi, 400cc - 1000cc,30.77%,14-Jan,Dead
22/10/2018,12:49:58,Kanchanaburi,less-than-110cc,15.38%,14-Jan,Dead
5/1/2018,0:41:59,Chonburi, 111cc - 125cc,58.33%,14-Jan,Dead
3/3/2018,0:16:19,Chonburi, 126cc - 150cc,8.33%,14-Jan,Dead
7/8/2018,23:55:49,Chonburi, 156cc - 300cc,0.00%,14-Jan,Dead
9/2/2018,19:46:49,Chonburi,less-than-110cc,33.33%,14-Jan,Dead
10/9/2018,9:09:12,Chonburi,more-than-1000cc,0.00%,14-Jan,Dead
27/03/2018,20:18:20,Nakhon-Ratchasima, 111cc - 125cc,71.43%,14-Jan,Dead
25/02/2018,0:42:23,Nakhon-Ratchasima, 126cc - 150cc,2.86%,14-Jan,Dead
25/01/2018,21:52:07,Nakhon-Ratchasima,less-than-110cc,25.71%,14-Jan,Dead
6/3/2018,15:59:23,Surat-Thani, 111cc - 125cc,72.73%,14-Jan,Dead
27/03/2018,16:57:59,Surat-Thani, 126cc - 150cc,0.00%,14-Jan,Dead
4/3/2018,19:36:40,Surat-Thani,less-than-110cc,27.27%,14-Jan,Dead
27/10/2018,12:06:48,Chiang-Mai, 111cc - 125cc,57.25%,14-Jan,Injury
11/11/2018,18:11:15,Chiang-Mai, 126cc - 150cc,3.80%,14-Jan,Injury
28/07/2018,4:22:40,Chiang-Mai, 156cc - 300cc,0.29%,14-Jan,Injury
18/08/2018,15:42:05,Chiang-Mai, 400cc - 1000cc,0.49%,14-Jan,Injury
21/09/2018,16:03:00,Chiang-Mai,less-than-110cc,36.61%,14-Jan,Injury
16/09/2018,3:35:23,Bangkok, 111cc - 125cc,64.45%,14-Jan,Injury
14/12/2018,4:53:14,Bangkok, 126cc - 150cc,11.83%,14-Jan,Injury
16/10/2018,22:41:17,Bangkok, 156cc - 300cc,0.78%,14-Jan,Injury
3/4/2018,17:12:29,Bangkok, 400cc - 1000cc,0.84%,14-Jan,Injury
4/2/2018,0:45:26,Bangkok,less-than-110cc,19.93%,14-Jan,Injury
8/4/2018,0:40:03,Bangkok,more-than-1000cc,0.09%,14-Jan,Injury
17/09/2018,17:21:38,Kanchanaburi, 111cc - 125cc,55.70%,14-Jan,Injury
10/12/2018,3:46:40,Kanchanaburi, 126cc - 150cc,1.04%,14-Jan,Injury
16/12/2018,19:04:07,Kanchanaburi, 156cc - 300cc,0.00%,14-Jan,Injury
14/11/2018,7:56:23,Kanchanaburi, 400cc - 1000cc,0.52%,14-Jan,Injury
14/06/2018,14:38:54,Kanchanaburi,less-than-110cc,42.75%,14-Jan,Injury
4/7/2018,23:19:59,Chonburi, 111cc - 125cc,61.97%,14-Jan,Injury
13/10/2018,10:23:07,Chonburi, 126cc - 150cc,4.86%,14-Jan,Injury
10/6/2018,4:49:03,Chonburi, 156cc - 300cc,0.12%,14-Jan,Injury
13/03/2018,1:00:46,Chonburi, 400cc - 1000cc,0.35%,14-Jan,Injury
28/05/2018,8:57:37,Chonburi,less-than-110cc,22.08%,14-Jan,Injury
11/12/2018,5:21:38,Chonburi,more-than-1000cc,0.00%,14-Jan,Injury
28/05/2018,4:25:43,Nakhon-Ratchasima, 111cc - 125cc,59.24%,14-Jan,Injury
18/09/2018,18:22:06,Nakhon-Ratchasima, 126cc - 150cc,1.97%,14-Jan,Injury
11/9/2018,17:32:36,Nakhon-Ratchasima, 156cc - 300cc,0.07%,14-Jan,Injury
15/11/2018,3:38:04,Nakhon-Ratchasima, 400cc - 1000cc,0.13%,14-Jan,Injury
30/03/2018,1:09:09,Nakhon-Ratchasima,less-than-110cc,38.27%,14-Jan,Injury
29/05/2018,12:10:26,Surat-Thani, 111cc - 125cc,70.23%,14-Jan,Injury
15/09/2018,20:18:01,Surat-Thani, 126cc - 150cc,1.95%,14-Jan,Injury
22/03/2018,21:25:46,Surat-Thani, 156cc - 300cc,0.19%,14-Jan,Injury
13/08/2018,3:45:20,Surat-Thani, 400cc - 1000cc,0.00%,14-Jan,Injury
22/11/2018,4:07:17,Surat-Thani,less-than-110cc,27.24%,14-Jan,Injury
24/07/2018,5:22:34,Surat-Thani,more-than-1000cc,0.00%,14-Jan,Injury
16/06/2018,18:28:45,Chiang-Mai, 111cc - 125cc,45.45%,15-19,Dead
23/02/2018,7:47:07,Chiang-Mai, 126cc - 150cc,9.09%,15-19,Dead
27/11/2018,1:15:19,Chiang-Mai, 156cc - 300cc,0.00%,15-19,Dead
25/05/2018,3:58:47,Chiang-Mai, 400cc - 1000cc,0.00%,15-19,Dead
8/6/2018,2:51:16,Chiang-Mai,less-than-110cc,42.42%,15-19,Dead
1/10/2018,17:05:49,Bangkok, 111cc - 125cc,58.33%,15-19,Dead
26/03/2018,2:03:59,Bangkok, 126cc - 150cc,25.00%,15-19,Dead
1/1/2018,3:52:50,Bangkok, 156cc - 300cc,0.00%,15-19,Dead
16/10/2018,2:06:57,Bangkok, 400cc - 1000cc,1.39%,15-19,Dead
31/08/2018,11:14:16,Bangkok,less-than-110cc,12.50%,15-19,Dead
4/12/2018,7:38:49,Kanchanaburi, 111cc - 125cc,73.33%,15-19,Dead
17/10/2018,8:41:59,Kanchanaburi, 126cc - 150cc,6.67%,15-19,Dead
13/05/2018,10:08:25,Kanchanaburi,less-than-110cc,20.00%,15-19,Dead
8/4/2018,9:26:48,Chonburi, 111cc - 125cc,61.54%,15-19,Dead
10/5/2018,5:17:31,Chonburi, 126cc - 150cc,10.26%,15-19,Dead
1/8/2018,0:35:20,Chonburi, 400cc - 1000cc,0.00%,15-19,Dead
4/5/2018,16:27:46,Chonburi,less-than-110cc,7.69%,15-19,Dead
18/12/2018,19:16:22,Nakhon-Ratchasima, 111cc - 125cc,69.57%,15-19,Dead
10/12/2018,16:06:00,Nakhon-Ratchasima, 126cc - 150cc,0.00%,15-19,Dead
10/5/2018,0:51:58,Nakhon-Ratchasima, 156cc - 300cc,0.00%,15-19,Dead
22/09/2018,0:55:01,Nakhon-Ratchasima,less-than-110cc,30.43%,15-19,Dead
6/8/2018,16:43:04,Surat-Thani, 111cc - 125cc,82.35%,15-19,Dead
8/7/2018,2:44:25,Surat-Thani,less-than-110cc,17.65%,15-19,Dead
4/4/2018,7:47:28,Chiang-Mai, 111cc - 125cc,61.15%,15-19,Injury
16/01/2018,20:28:49,Chiang-Mai, 126cc - 150cc,8.18%,15-19,Injury
6/11/2018,11:34:05,Chiang-Mai, 156cc - 300cc,0.64%,15-19,Injury
19/04/2018,18:11:24,Chiang-Mai, 400cc - 1000cc,0.10%,15-19,Injury
13/02/2018,2:23:49,Chiang-Mai,less-than-110cc,29.44%,15-19,Injury
25/10/2018,22:53:24,Bangkok, 111cc - 125cc,65.91%,15-19,Injury
3/11/2018,4:30:42,Bangkok, 126cc - 150cc,17.33%,15-19,Injury
26/08/2018,22:52:51,Bangkok, 156cc - 300cc,0.65%,15-19,Injury
25/07/2018,12:56:38,Bangkok, 400cc - 1000cc,0.49%,15-19,Injury
1/10/2018,2:08:09,Bangkok,less-than-110cc,14.20%,15-19,Injury
26/08/2018,0:44:32,Bangkok,more-than-1000cc,0.02%,15-19,Injury
20/04/2018,18:31:40,Kanchanaburi, 111cc - 125cc,62.48%,15-19,Injury
27/05/2018,10:12:46,Kanchanaburi, 126cc - 150cc,3.49%,15-19,Injury
26/09/2018,4:35:30,Kanchanaburi, 156cc - 300cc,0.00%,15-19,Injury
7/1/2018,3:20:13,Kanchanaburi, 400cc - 1000cc,0.00%,15-19,Injury
4/9/2018,11:46:59,Kanchanaburi,less-than-110cc,34.03%,15-19,Injury
14/02/2018,14:18:20,Chonburi, 111cc - 125cc,62.20%,15-19,Injury
2/7/2018,4:03:35,Chonburi, 126cc - 150cc,7.29%,15-19,Injury
29/04/2018,23:11:14,Chonburi, 156cc - 300cc,0.33%,15-19,Injury
18/02/2018,0:02:29,Chonburi, 400cc - 1000cc,0.13%,15-19,Injury
20/04/2018,23:12:24,Chonburi,less-than-110cc,18.63%,15-19,Injury
26/08/2018,10:06:46,Chonburi,more-than-1000cc,0.00%,15-19,Injury
5/11/2018,17:20:51,Nakhon-Ratchasima, 111cc - 125cc,64.62%,15-19,Injury
27/08/2018,14:22:52,Nakhon-Ratchasima, 126cc - 150cc,4.44%,15-19,Injury
17/01/2018,18:13:31,Nakhon-Ratchasima, 156cc - 300cc,0.00%,15-19,Injury
28/07/2018,8:11:09,Nakhon-Ratchasima, 400cc - 1000cc,0.00%,15-19,Injury
18/04/2018,18:15:31,Nakhon-Ratchasima,less-than-110cc,29.83%,15-19,Injury
24/12/2018,3:06:05,Surat-Thani, 111cc - 125cc,73.08%,15-19,Injury
27/01/2018,6:56:25,Surat-Thani, 126cc - 150cc,5.86%,15-19,Injury
18/10/2018,6:57:07,Surat-Thani, 156cc - 300cc,0.18%,15-19,Injury
19/11/2018,7:23:59,Surat-Thani, 400cc - 1000cc,0.37%,15-19,Injury
7/3/2018,3:39:53,Surat-Thani,less-than-110cc,19.05%,15-19,Injury
25/08/2018,10:34:40,Surat-Thani,more-than-1000cc,0.18%,15-19,Injury
15/04/2018,18:37:25,Chiang-Mai, 111cc - 125cc,54.05%,19-24,Dead
29/09/2018,18:23:47,Chiang-Mai, 126cc - 150cc,10.81%,19-24,Dead
16/11/2018,4:38:36,Chiang-Mai, 156cc - 300cc,0.00%,19-24,Dead
2/1/2018,4:03:24,Chiang-Mai, 400cc - 1000cc,2.70%,19-24,Dead
9/3/2018,6:22:17,Chiang-Mai,less-than-110cc,31.08%,19-24,Dead
10/12/2018,4:02:10,Bangkok, 111cc - 125cc,45.32%,19-24,Dead
13/01/2018,19:26:41,Bangkok, 126cc - 150cc,28.78%,19-24,Dead
24/05/2018,19:38:56,Bangkok, 156cc - 300cc,2.16%,19-24,Dead
24/09/2018,8:41:53,Bangkok, 400cc - 1000cc,7.91%,19-24,Dead
29/09/2018,9:47:47,Bangkok,less-than-110cc,14.39%,19-24,Dead
27/06/2018,11:48:15,Bangkok,more-than-1000cc,0.00%,19-24,Dead
4/10/2018,11:56:28,Kanchanaburi, 111cc - 125cc,71.43%,19-24,Dead
3/4/2018,7:24:30,Kanchanaburi, 126cc - 150cc,0.00%,19-24,Dead
20/07/2018,4:35:37,Kanchanaburi, 156cc - 300cc,0.00%,19-24,Dead
9/1/2018,3:36:16,Kanchanaburi, 400cc - 1000cc,4.76%,19-24,Dead
24/06/2018,2:14:30,Kanchanaburi,less-than-110cc,23.81%,19-24,Dead
4/4/2018,22:19:50,Chonburi, 111cc - 125cc,51.49%,19-24,Dead
31/08/2018,22:47:33,Chonburi, 126cc - 150cc,10.89%,19-24,Dead
8/7/2018,17:17:14,Chonburi, 156cc - 300cc,1.98%,19-24,Dead
7/1/2018,17:09:15,Chonburi, 400cc - 1000cc,4.95%,19-24,Dead
14/10/2018,11:13:33,Chonburi,less-than-110cc,18.81%,19-24,Dead
16/08/2018,15:35:16,Chonburi,more-than-1000cc,0.00%,19-24,Dead
30/12/2018,15:34:33,Nakhon-Ratchasima, 111cc - 125cc,64.06%,19-24,Dead
29/12/2018,8:14:00,Nakhon-Ratchasima, 126cc - 150cc,12.50%,19-24,Dead
3/7/2018,7:29:41,Nakhon-Ratchasima, 156cc - 300cc,1.56%,19-24,Dead
31/12/2018,11:36:25,Nakhon-Ratchasima, 400cc - 1000cc,4.69%,19-24,Dead
16/12/2018,12:48:29,Nakhon-Ratchasima,less-than-110cc,15.63%,19-24,Dead
25/02/2018,1:55:38,Nakhon-Ratchasima,more-than-1000cc,0.00%,19-24,Dead
1/4/2018,2:12:04,Surat-Thani, 111cc - 125cc,58.33%,19-24,Dead
15/08/2018,6:18:53,Surat-Thani, 126cc - 150cc,0.00%,19-24,Dead
7/12/2018,3:28:12,Surat-Thani, 156cc - 300cc,0.00%,19-24,Dead
18/07/2018,18:37:48,Surat-Thani, 400cc - 1000cc,0.00%,19-24,Dead
7/3/2018,1:19:06,Surat-Thani,less-than-110cc,33.33%,19-24,Dead
6/1/2018,20:07:48,Chiang-Mai, 111cc - 125cc,58.85%,19-24,Injury
20/08/2018,19:50:03,Chiang-Mai, 126cc - 150cc,8.19%,19-24,Injury
6/8/2018,10:25:32,Chiang-Mai, 156cc - 300cc,0.65%,19-24,Injury
9/7/2018,3:50:49,Chiang-Mai, 400cc - 1000cc,0.74%,19-24,Injury
10/3/2018,21:57:11,Chiang-Mai,less-than-110cc,30.19%,19-24,Injury
23/11/2018,13:22:13,Chiang-Mai,more-than-1000cc,0.07%,19-24,Injury
17/05/2018,20:31:14,Bangkok, 111cc - 125cc,59.70%,19-24,Injury
24/03/2018,23:25:17,Bangkok, 126cc - 150cc,22.72%,19-24,Injury
13/03/2018,22:19:26,Bangkok, 156cc - 300cc,1.35%,19-24,Injury
13/05/2018,6:17:49,Bangkok, 400cc - 1000cc,1.60%,19-24,Injury
23/12/2018,11:39:07,Bangkok,less-than-110cc,13.24%,19-24,Injury
26/08/2018,22:31:57,Bangkok,more-than-1000cc,0.00%,19-24,Injury
6/11/2018,5:30:31,Kanchanaburi, 111cc - 125cc,61.10%,19-24,Injury
25/06/2018,7:03:32,Kanchanaburi, 126cc - 150cc,7.16%,19-24,Injury
31/05/2018,4:14:47,Kanchanaburi, 156cc - 300cc,0.70%,19-24,Injury
13/04/2018,13:12:50,Kanchanaburi, 400cc - 1000cc,0.42%,19-24,Injury
11/11/2018,5:41:01,Kanchanaburi,less-than-110cc,30.62%,19-24,Injury
6/7/2018,22:18:47,Chonburi, 111cc - 125cc,57.86%,19-24,Injury
26/11/2018,13:26:25,Chonburi, 126cc - 150cc,13.20%,19-24,Injury
21/04/2018,20:30:38,Chonburi, 156cc - 300cc,0.86%,19-24,Injury
17/06/2018,7:44:24,Chonburi, 400cc - 1000cc,1.49%,19-24,Injury
4/9/2018,20:11:07,Chonburi,less-than-110cc,16.28%,19-24,Injury
8/4/2018,18:07:07,Chonburi,more-than-1000cc,0.00%,19-24,Injury
12/7/2018,10:59:06,Nakhon-Ratchasima, 111cc - 125cc,60.80%,19-24,Injury
19/10/2018,10:13:13,Nakhon-Ratchasima, 126cc - 150cc,7.74%,19-24,Injury
29/04/2018,21:08:38,Nakhon-Ratchasima, 156cc - 300cc,0.36%,19-24,Injury
17/09/2018,3:20:13,Nakhon-Ratchasima, 400cc - 1000cc,0.79%,19-24,Injury
27/07/2018,18:15:13,Nakhon-Ratchasima,less-than-110cc,28.87%,19-24,Injury
9/3/2018,23:56:28,Surat-Thani, 111cc - 125cc,69.73%,19-24,Injury
1/1/2018,18:08:51,Surat-Thani, 126cc - 150cc,7.40%,19-24,Injury
2/4/2018,0:28:05,Surat-Thani, 156cc - 300cc,0.27%,19-24,Injury
17/02/2018,9:08:41,Surat-Thani, 400cc - 1000cc,1.23%,19-24,Injury
13/06/2018,16:50:27,Surat-Thani,less-than-110cc,19.73%,19-24,Injury
18/01/2018,13:14:49,Surat-Thani,more-than-1000cc,0.00%,19-24,Injury
6/10/2018,18:19:09,Chiang-Mai, 111cc - 125cc,54.55%,25-35,Dead
15/11/2018,6:00:14,Chiang-Mai, 126cc - 150cc,6.06%,25-35,Dead
17/01/2018,16:23:03,Chiang-Mai, 156cc - 300cc,1.52%,25-35,Dead
21/02/2018,7:04:20,Chiang-Mai, 400cc - 1000cc,3.03%,25-35,Dead
4/4/2018,0:38:47,Chiang-Mai,less-than-110cc,31.82%,25-35,Dead
18/04/2018,20:58:14,Chiang-Mai,more-than-1000cc,0.00%,25-35,Dead
7/5/2018,16:59:05,Bangkok, 111cc - 125cc,54.07%,25-35,Dead
25/10/2018,4:28:59,Bangkok, 126cc - 150cc,24.44%,25-35,Dead
27/03/2018,7:00:14,Bangkok, 156cc - 300cc,2.96%,25-35,Dead
8/1/2018,0:14:27,Bangkok, 400cc - 1000cc,4.44%,25-35,Dead
7/11/2018,19:16:07,Bangkok,less-than-110cc,11.85%,25-35,Dead
18/02/2018,11:27:28,Bangkok,more-than-1000cc,0.00%,25-35,Dead
27/05/2018,17:17:26,Kanchanaburi, 111cc - 125cc,57.14%,25-35,Dead
12/7/2018,15:54:11,Kanchanaburi, 126cc - 150cc,19.05%,25-35,Dead
15/06/2018,21:14:18,Kanchanaburi, 156cc - 300cc,0.00%,25-35,Dead
13/04/2018,12:21:24,Kanchanaburi, 400cc - 1000cc,9.52%,25-35,Dead
28/12/2018,13:09:42,Kanchanaburi,less-than-110cc,14.29%,25-35,Dead
23/03/2018,10:05:38,Kanchanaburi,more-than-1000cc,0.00%,25-35,Dead
8/6/2018,23:23:35,Chonburi, 111cc - 125cc,56.31%,25-35,Dead
26/06/2018,23:33:07,Chonburi, 126cc - 150cc,8.74%,25-35,Dead
24/02/2018,17:50:55,Chonburi, 156cc - 300cc,3.88%,25-35,Dead
21/05/2018,21:53:30,Chonburi, 400cc - 1000cc,2.91%,25-35,Dead
21/01/2018,13:36:40,Chonburi,less-than-110cc,18.45%,25-35,Dead
10/8/2018,18:11:33,Chonburi,more-than-1000cc,0.97%,25-35,Dead
9/5/2018,8:09:01,Nakhon-Ratchasima, 111cc - 125cc,49.40%,25-35,Dead
23/09/2018,9:30:59,Nakhon-Ratchasima, 126cc - 150cc,10.84%,25-35,Dead
26/09/2018,1:05:44,Nakhon-Ratchasima, 156cc - 300cc,1.20%,25-35,Dead
5/5/2018,21:06:21,Nakhon-Ratchasima, 400cc - 1000cc,6.02%,25-35,Dead
30/03/2018,11:15:56,Nakhon-Ratchasima,less-than-110cc,32.53%,25-35,Dead
28/02/2018,16:24:38,Nakhon-Ratchasima,more-than-1000cc,0.00%,25-35,Dead
16/10/2018,22:53:50,Surat-Thani, 111cc - 125cc,60.00%,25-35,Dead
15/05/2018,8:06:52,Surat-Thani, 126cc - 150cc,5.00%,25-35,Dead
14/06/2018,9:34:03,Surat-Thani, 156cc - 300cc,5.00%,25-35,Dead
7/8/2018,1:28:17,Surat-Thani, 400cc - 1000cc,0.00%,25-35,Dead
30/03/2018,5:26:12,Surat-Thani,less-than-110cc,30.00%,25-35,Dead
5/5/2018,5:25:07,Surat-Thani,more-than-1000cc,0.00%,25-35,Dead
5/9/2018,18:28:58,Chiang-Mai, 111cc - 125cc,55.44%,25-35,Injury
26/02/2018,11:16:10,Chiang-Mai, 126cc - 150cc,8.15%,25-35,Injury
31/12/2018,7:05:50,Chiang-Mai, 156cc - 300cc,0.54%,25-35,Injury
21/10/2018,12:24:46,Chiang-Mai, 400cc - 1000cc,1.12%,25-35,Injury
16/12/2018,9:21:47,Chiang-Mai,less-than-110cc,33.68%,25-35,Injury
2/3/2018,17:11:20,Chiang-Mai,more-than-1000cc,0.03%,25-35,Injury
27/12/2018,21:37:06,Bangkok, 111cc - 125cc,61.43%,25-35,Injury
12/9/2018,13:51:59,Bangkok, 126cc - 150cc,17.74%,25-35,Injury
24/05/2018,1:10:17,Bangkok, 156cc - 300cc,1.46%,25-35,Injury
31/12/2018,11:00:54,Bangkok, 400cc - 1000cc,2.31%,25-35,Injury
11/11/2018,15:11:06,Bangkok,less-than-110cc,15.21%,25-35,Injury
26/04/2018,0:17:43,Bangkok,more-than-1000cc,0.08%,25-35,Injury
5/2/2018,2:40:16,Kanchanaburi, 111cc - 125cc,54.53%,25-35,Injury
27/04/2018,13:40:25,Kanchanaburi, 126cc - 150cc,7.00%,25-35,Injury
4/5/2018,7:41:05,Kanchanaburi, 156cc - 300cc,0.48%,25-35,Injury
5/12/2018,19:27:53,Kanchanaburi, 400cc - 1000cc,2.07%,25-35,Injury
20/05/2018,3:29:17,Kanchanaburi,less-than-110cc,35.45%,25-35,Injury
3/5/2018,5:08:06,Kanchanaburi,more-than-1000cc,0.00%,25-35,Injury
29/10/2018,18:12:56,Chonburi, 111cc - 125cc,59.03%,25-35,Injury
3/10/2018,0:00:33,Chonburi, 126cc - 150cc,9.96%,25-35,Injury
1/10/2018,2:50:30,Chonburi, 156cc - 300cc,0.88%,25-35,Injury
25/09/2018,10:03:41,Chonburi, 400cc - 1000cc,2.06%,25-35,Injury
24/11/2018,20:34:55,Chonburi,less-than-110cc,18.00%,25-35,Injury
15/10/2018,6:46:05,Chonburi,more-than-1000cc,0.05%,25-35,Injury
7/11/2018,2:44:26,Nakhon-Ratchasima, 111cc - 125cc,57.22%,25-35,Injury
8/3/2018,2:18:02,Nakhon-Ratchasima, 126cc - 150cc,6.46%,25-35,Injury
16/06/2018,6:36:01,Nakhon-Ratchasima, 156cc - 300cc,0.40%,25-35,Injury
13/01/2018,17:01:03,Nakhon-Ratchasima, 400cc - 1000cc,1.52%,25-35,Injury
